ID	TRAD	SIMP	IPA	JYUTPING	ECPL	NOTE
1	⿰口罈	⿰口罈	pɐm22	bam6	古壯字，罈子	
2	⿰平刂	⿰平刂	mɐn24	man5	古壯字，鈍	
3	⿰弄動	⿰弄動	ŋok2	nguk6		
4	⿰弄迷	⿰弄迷	lœŋ53	loeng1	古壯字，差錯	
5	⿰手兆	⿰手兆	tʰɛu33	teu2	古壯字，提（东西）；倒掉（水）	
6	⿰糹些	⿰纟些	ɬe53	sle1	養魚的網；用網攔	
7	⿰罢瓜	⿰罢瓜	mai53	maai1	古壯字，～瓜，瓠子，壯語本義水瓢	
8	⿰老吉	⿰老吉	ke55	ge3		
9	⿰身必	⿰身必	pe22	be6	古壯字，背負，～篷，披身雨篷，應與孭同源	
10	⿱打末	⿱打末	map2	maap6	古壯字，用石擲、用棍打	
11	⿱敞牙	⿱敞牙	pe53	be1	古壯字，緊挨相連，～～坐，排排坐	
12	〇	〇	leŋ21	ling4		
13	㑊	㑊	∅ɐk2	ak6		(又)
14	㑊	㑊	jek24	jik5		
15	㑳	㑇	tʃɐu55	zau3		
16	㓟	㓟	mɐi53	mai1	削，又作劘字	(白)
17	㓟	㓟	pʰɐi53	pai1	削，又作𠜱字	
18	㓤	㓤	kɐt3	gat2	刺	
19	㔆	㔆	tʃam24	zaam5	刺、扎，與插對轉	
20	㔙	㔙	pʰaŋ53	paang1		
21	㔹	㔹	lɐk24	lak5		
22	㕭	㕭	jau53	jaau1	～呝[jak5]，吵嚷	
23	㕭	㕭	jau55	jaau3	咿～，不認真，又作咿呦	
24	㕮	㕮	fu33	fu2		
25	㕵	㕵	wɐu55	wau3	擬聲詞，狗吠聲，又作汪字	(語)
26	㕵	㕵	kok3	guk2	同國字	
27	㖭	㖭	tʰim53	tim1		
28	㖸	㖸	kʰiɐk3	kiak2	㖸（噱）頭，俗作謔頭	
29	㗂	㗂	ɬɐŋ21	slang4	古壯字，詞綴，毛～～，高～～	(語)
30	㗂	㗂	ʃaŋ33	saang2		
31	㗇	㗇	kʰa53	kaa1	欺負，一說本字諕/謑	(語)
32	㗇	㗇	ha53	haa1		
33	㗎	㗎	ka55	gaa3		
34	㗩	㗩	ɬɛp5	slep3	辣痛，古壯字⿸疒妾	(語)
35	㗩	㗩	ɬɐp3	slap2	忍寒聲	
